# Species	Genes	Alg.-Conn.	GCA_010727945.1_protein.faa	GCA_010728725.1_protein.faa	GCA_010730195.1_protein.faa	GCA_019456655.1_protein.faa	GCA_900292015.1_protein.faa
5	5	0.902	BBX46452.1	BBZ12111.1	BBZ41588.1	QYL21429.1	VDM90585.1
5	5	0.902	BBX46790.1	BBZ11698.1	BBZ41918.1	QYL22443.1	VDM90929.1
5	5	0.902	BBX46844.1	BBZ11645.1	BBZ41994.1	QYL23967.1	VDM91006.1
5	5	0.902	BBX46876.1	BBZ11621.1	BBZ42021.1	QYL22519.1	VDM91027.1
5	5	0.902	BBX47713.1	BBZ10928.1	BBZ37137.1	QYL23381.1	VDM86999.1
5	5	0.902	BBX48023.1	BBZ10569.1	BBZ37442.1	QYL24277.1	VDM87266.1
5	5	0.902	BBX48821.1	BBZ14740.1	BBZ38296.1	QYL24541.1	VDM87876.1
5	5	0.901	BBX44006.1	BBZ14602.1	BBZ38459.1	QYL24733.1	VDM88053.1
5	5	0.901	BBX44007.1	BBZ14601.1	BBZ38460.1	QYL24734.1	VDM88054.1
5	5	0.901	BBX44202.1	BBZ14353.1	BBZ38638.1	QYL24952.1	VDM88249.1
5	5	0.901	BBX45045.1	BBZ11614.1	BBZ42028.1	QYL22525.1	VDM91034.1
5	5	0.901	BBX45098.1	BBZ13521.1	BBZ40017.1	QYL20328.1	VDM89281.1
5	5	0.901	BBX45134.1	BBZ13483.1	BBZ40047.1	QYL25578.1	VDM89317.1
5	5	0.901	BBX45945.1	BBZ12624.1	BBZ41046.1	QYL21649.1	VDM90151.1
5	5	0.901	BBX46409.1	BBZ12167.1	BBZ41552.1	QYL25701.1	VDM90545.1
5	5	0.901	BBX47762.1	BBZ10890.1	BBZ37191.1	QYL23105.1	VDM87045.1
5	5	0.901	BBX47766.1	BBZ10887.1	BBZ37195.1	QYL23440.1	VDM87049.1
5	5	0.901	BBX48833.1	BBZ14725.1	BBZ38309.1	QYL24561.1	VDM87890.1
5	5	0.9	BBX44059.1	BBZ14495.1	BBZ38511.1	QYL24852.1	VDM88106.1
5	5	0.9	BBX44125.1	BBZ14413.1	BBZ38555.1	QYL24896.1	VDM88186.1
5	5	0.9	BBX44165.1	BBZ14390.1	BBZ38602.1	QYL24910.1	VDM88218.1
5	5	0.9	BBX44267.1	BBZ14294.1	BBZ38700.1	QYL25003.1	VDM88311.1
5	5	0.9	BBX45237.1	BBZ13389.1	BBZ40145.1	QYL20954.1	VDM89411.1
5	5	0.9	BBX45279.1	BBZ13353.1	BBZ40204.1	QYL21002.1	VDM89446.1
5	5	0.9	BBX46244.1	BBZ12353.1	BBZ41328.1	QYL21954.1	VDM90389.1
5	5	0.9	BBX46704.1	BBZ11814.1	BBZ41825.1	QYL22329.1	VDM90831.1
5	5	0.9	BBX46795.1	BBZ11693.1	BBZ41925.1	QYL25801.1	VDM90937.1
5	5	0.9	BBX46807.1	BBZ11681.1	BBZ41938.1	QYL25803.1	VDM90950.1
5	5	0.9	BBX47495.1	BBZ11145.1	BBZ42684.1	QYL23083.1	VDM86813.1
5	5	0.9	BBX47506.1	BBZ11130.1	BBZ42704.1	QYL23102.1	VDM86826.1
5	5	0.9	BBX47943.1	BBZ10659.1	BBZ37334.1	QYL23577.1	VDM87187.1
5	5	0.9	BBX48033.1	BBZ10560.1	BBZ37449.1	QYL23704.1	VDM87273.1
5	5	0.9	BBX48159.1	BBZ10457.1	BBZ37516.1	QYL23842.1	VDM87340.1
5	5	0.9	BBX48953.1	BBZ14620.1	BBZ38440.1	QYL24709.1	VDM88009.1
5	5	0.899	BBX44015.1	BBZ14595.1	BBZ38468.1	QYL24741.1	VDM88060.1
5	5	0.899	BBX44671.1	BBZ13877.1	BBZ39351.1	QYL20777.1	VDM88737.1
5	5	0.899	BBX44932.1	BBZ13704.1	BBZ39670.1	QYL20527.1	VDM88989.1
5	5	0.899	BBX45163.1	BBZ13456.1	BBZ40078.1	QYL20894.1	VDM89345.1
5	5	0.899	BBX45748.1	BBZ12876.1	BBZ40341.1	QYL21530.1	VDM89514.1
5	5	0.899	BBX46534.1	BBZ11994.1	BBZ41693.1	QYL22165.1	VDM90687.1
5	5	0.899	BBX46788.1	BBZ11700.1	BBZ41916.1	QYL22441.1	VDM90927.1
5	5	0.899	BBX47490.1	BBZ11156.1	BBZ42674.1	QYL23068.1	VDM86808.1
5	5	0.899	BBX47965.1	BBZ10635.1	BBZ37352.1	QYL23593.1	VDM87208.1
5	5	0.899	BBX48171.1	BBZ10444.1	BBZ37528.1	QYL23854.1	VDM87350.1
5	5	0.899	BBX48265.1	BBZ10361.1	BBZ40340.1	QYL23945.1	VDM89124.1
5	5	0.899	BBX48330.1	BBZ10298.1	BBZ37681.1	QYL24043.1	VDM87471.1
5	5	0.899	BBX48366.1	BBZ10267.1	BBZ37723.1	QYL24076.1	VDM87505.1
5	5	0.899	BBX48419.1	BBZ10197.1	BBZ37783.1	QYL24164.1	VDM87606.1
5	5	0.899	BBX48466.1	BBZ10145.1	BBZ37829.1	QYL24204.1	VDM87648.1
5	5	0.899	BBX48862.1	BBZ14702.1	BBZ38341.1	QYL20384.1	VDM87936.1
5	5	0.899	BBX48914.1	BBZ14669.1	BBZ38387.1	QYL24659.1	VDM87963.1
5	5	0.898	BBX44109.1	BBZ14436.1	BBZ38546.1	QYL25519.1	VDM88174.1
5	5	0.898	BBX44687.1	BBZ13864.1	BBZ39374.1	QYL20764.1	VDM88761.1
5	5	0.898	BBX45117.1	BBZ13503.1	BBZ40034.1	QYL20308.1	VDM89301.1
5	5	0.898	BBX45196.1	BBZ13422.1	BBZ40113.1	QYL20924.1	VDM89379.1
5	5	0.898	BBX45387.1	BBZ13279.1	BBZ40457.1	QYL21078.1	VDM89673.1
5	5	0.898	BBX45393.1	BBZ13270.1	BBZ40466.1	QYL21086.1	VDM89679.1
5	5	0.898	BBX45626.1	BBZ12991.1	BBZ40714.1	QYL24535.1	VDM89897.1
5	5	0.898	BBX45689.1	BBZ12927.1	BBZ40761.1	QYL21461.1	VDM89936.1
5	5	0.898	BBX45691.1	BBZ12925.1	BBZ40763.1	QYL21462.1	VDM89938.1
5	5	0.898	BBX45830.1	BBZ12827.1	BBZ40897.1	QYL21581.1	VDM90071.1
5	5	0.898	BBX45956.1	BBZ12611.1	BBZ41059.1	QYL21671.1	VDM90160.1
5	5	0.898	BBX46214.1	BBZ12381.1	BBZ41300.1	QYL21915.1	VDM90362.1
5	5	0.898	BBX46738.1	BBZ11784.1	BBZ41864.1	QYL22379.1	VDM90867.1
5	5	0.898	BBX47182.1	BBZ11381.1	BBZ42354.1	QYL22848.1	VDM86556.1
5	5	0.898	BBX48146.1	BBZ10466.1	BBZ37508.1	QYL23826.1	VDM87330.1
5	5	0.897	BBX44053.1	BBZ14500.1	BBZ38505.1	QYL25517.1	VDM88101.1
5	5	0.897	BBX44304.1	BBZ14220.1	BBZ38957.1	QYL25041.1	VDM88372.1
5	5	0.897	BBX44586.1	BBZ13957.1	BBZ39258.1	QYL25270.1	VDM88664.1
5	5	0.897	BBX44594.1	BBZ13949.1	BBZ39268.1	QYL20273.1	VDM88670.1
5	5	0.897	BBX44698.1	BBZ13853.1	BBZ39385.1	QYL20752.1	VDM88782.1
5	5	0.897	BBX44989.1	BBZ13644.1	BBZ37340.1	QYL20464.1	VDM87193.1
5	5	0.897	BBX45663.1	BBZ12955.1	BBZ40745.1	QYL24506.1	VDM89920.1
5	5	0.897	BBX45688.1	BBZ12928.1	BBZ40760.1	QYL21460.1	VDM89935.1
5	5	0.897	BBX45751.1	BBZ12873.1	BBZ40834.1	QYL21534.1	VDM90017.1
5	5	0.897	BBX45753.1	BBZ12871.1	BBZ40836.1	QYL21538.1	VDM90019.1
5	5	0.897	BBX45936.1	BBZ12663.1	BBZ41011.1	QYL21636.1	VDM90139.1
5	5	0.897	BBX45966.1	BBZ12598.1	BBZ41073.1	QYL22261.1	VDM90178.1
5	5	0.897	BBX46240.1	BBZ12357.1	BBZ41324.1	QYL21950.1	VDM90385.1
5	5	0.897	BBX46816.1	BBZ11672.1	BBZ41947.1	QYL22459.1	VDM90958.1
5	5	0.897	BBX46877.1	BBZ11619.1	BBZ42023.1	QYL22521.1	VDM91029.1
5	5	0.897	BBX46913.1	BBZ11579.1	BBZ42117.1	QYL22564.1	VDM91117.1
5	5	0.897	BBX47057.1	BBZ11464.1	BBZ42178.1	QYL22674.1	VDM91226.1
5	5	0.897	BBX47488.1	BBZ11159.1	BBZ42669.1	QYL23065.1	VDM86806.1
5	5	0.897	BBX47501.1	BBZ11135.1	BBZ42698.1	QYL23099.1	VDM86822.1
5	5	0.897	BBX47586.1	BBZ11037.1	BBZ36985.1	QYL23147.1	VDM86882.1
5	5	0.897	BBX47889.1	BBZ10744.1	BBZ37290.1	QYL23530.1	VDM87139.1
5	5	0.897	BBX48297.1	BBZ10326.1	BBZ37648.1	QYL24018.1	VDM87447.1
5	5	0.897	BBX48769.1	BBZ14756.1	BBZ38168.1	QYL20693.1	VDM87851.1
5	5	0.896	BBX44226.1	BBZ14333.1	BBZ38656.1	QYL25532.1	VDM88269.1
5	5	0.896	BBX44690.1	BBZ13861.1	BBZ39377.1	QYL20759.1	VDM88764.1
5	5	0.896	BBX44913.1	BBZ13718.1	BBZ39657.1	QYL20596.1	VDM88978.1
5	5	0.896	BBX45065.1	BBZ13572.1	BBZ39813.1	QYL22704.1	VDM89136.1
5	5	0.896	BBX45968.1	BBZ12596.1	BBZ41075.1	QYL21686.1	VDM90180.1
5	5	0.896	BBX46053.1	BBZ12509.1	BBZ41179.1	QYL21785.1	VDM90252.1
5	5	0.896	BBX46219.1	BBZ12376.1	BBZ41305.1	QYL21923.1	VDM90367.1
5	5	0.896	BBX46617.1	BBZ11897.1	BBZ41758.1	QYL22215.1	VDM90761.1
5	5	0.896	BBX46999.1	BBZ11535.1	BBZ42251.1	QYL22614.1	VDM91153.1
5	5	0.896	BBX47120.1	BBZ11434.1	BBZ42287.1	QYL22794.1	VDM86509.1
5	5	0.896	BBX47605.1	BBZ11014.1	BBZ37012.1	QYL23172.1	VDM86906.1
5	5	0.896	BBX47859.1	BBZ10797.1	BBZ37259.1	QYL23513.1	VDM87110.1
5	5	0.896	BBX47926.1	BBZ10668.1	BBZ37325.1	QYL23567.1	VDM87173.1
5	5	0.896	BBX47941.1	BBZ10661.1	BBZ37332.1	QYL23575.1	VDM87185.1
5	5	0.896	BBX48000.1	BBZ10584.1	BBZ37392.1	QYL23649.1	VDM87246.1
5	5	0.896	BBX48277.1	BBZ10347.1	BBZ37628.1	QYL25418.1	VDM87430.1
5	5	0.896	BBX48349.1	BBZ10283.1	BBZ37704.1	QYL24061.1	VDM87486.1
5	5	0.896	BBX48524.1	BBZ10086.1	BBZ37917.1	QYL24253.1	VDM87694.1
5	5	0.896	BBX48528.1	BBZ10080.1	BBZ37920.1	QYL24257.1	VDM87699.1
5	5	0.895	BBX44021.1	BBZ14589.1	BBZ38474.1	QYL24747.1	VDM88066.1
5	5	0.895	BBX44137.1	BBZ14402.1	BBZ38583.1	QYL24905.1	VDM88203.1
5	5	0.895	BBX44266.1	BBZ14296.1	BBZ38698.1	QYL25001.1	VDM88309.1
5	5	0.895	BBX44567.1	BBZ13976.1	BBZ39187.1	QYL25257.1	VDM88652.1
5	5	0.895	BBX44648.1	BBZ13897.1	BBZ39328.1	QYL20807.1	VDM88712.1
5	5	0.895	BBX44828.1	BBZ13830.1	BBZ41124.1	QYL20469.1	VDM90213.1
5	5	0.895	BBX44888.1	BBZ13748.1	BBZ39623.1	QYL20621.1	VDM88946.1
5	5	0.895	BBX44905.1	BBZ13728.1	BBZ39639.1	QYL20604.1	VDM88966.1
5	5	0.895	BBX45046.1	BBZ11615.1	BBZ42027.1	QYL22524.1	VDM91033.1
5	5	0.895	BBX45080.1	BBZ13555.1	BBZ39977.1	QYL20353.1	VDM89242.1
5	5	0.895	BBX45942.1	BBZ12626.1	BBZ41022.1	QYL21647.1	VDM90148.1
5	5	0.895	BBX46284.1	BBZ12321.1	BBZ41361.1	QYL21992.1	VDM90412.1
5	5	0.895	BBX46509.1	BBZ12009.1	BBZ41665.1	QYL22153.1	VDM90673.1
5	5	0.895	BBX46726.1	BBZ11798.1	BBZ41842.1	QYL22357.1	VDM90849.1
5	5	0.895	BBX46814.1	BBZ11674.1	BBZ41944.1	QYL25804.1	VDM90956.1
5	5	0.895	BBX47130.1	BBZ11425.1	BBZ42297.1	QYL22803.1	VDM86487.1
5	5	0.895	BBX47411.1	BBZ11241.1	BBZ42600.1	QYL22700.1	VDM86743.1
5	5	0.895	BBX47497.1	BBZ11139.1	BBZ42690.1	QYL23095.1	VDM86816.1
5	5	0.895	BBX47904.1	BBZ10726.1	BBZ37305.1	QYL23542.1	VDM87153.1
5	5	0.895	BBX48112.1	BBZ10504.1	BBZ37469.1	QYL23726.1	VDM87290.1
5	5	0.895	BBX48483.1	BBZ10119.1	BBZ37880.1	QYL24217.1	VDM87669.1
5	5	0.894	BBX44016.1	BBZ14594.1	BBZ38469.1	QYL24742.1	VDM88061.1
5	5	0.894	BBX44297.1	BBZ14227.1	BBZ38949.1	QYL25036.1	VDM88363.1
5	5	0.894	BBX44335.1	BBZ14205.1	BBZ38980.1	QYL25058.1	VDM88394.1
5	5	0.894	BBX44625.1	BBZ13916.1	BBZ39307.1	QYL20825.1	VDM88702.1
5	5	0.894	BBX45471.1	BBZ13189.1	BBZ40540.1	QYL25682.1	VDM89750.1
5	5	0.894	BBX45490.1	BBZ13177.1	BBZ40552.1	QYL21176.1	VDM89763.1
5	5	0.894	BBX45680.1	BBZ12936.1	BBZ41090.1	QYL20364.1	VDM90193.1
5	5	0.894	BBX46083.1	BBZ12475.1	BBZ41214.1	QYL21844.1	VDM90306.1
5	5	0.894	BBX46310.1	BBZ12273.1	BBZ41396.1	QYL25765.1	VDM90438.1
5	5	0.894	BBX46705.1	BBZ11813.1	BBZ41826.1	QYL22330.1	VDM90832.1
5	5	0.894	BBX47024.1	BBZ11500.1	BBZ42223.1	QYL25826.1	VDM91192.1
5	5	0.894	BBX47034.1	BBZ11490.1	BBZ42209.1	QYL22651.1	VDM91203.1
5	5	0.894	BBX47388.1	BBZ11256.1	BBZ42578.1	QYL20540.1	VDM86722.1
5	5	0.894	BBX47430.1	BBZ11231.1	BBZ42608.1	QYL22689.1	VDM86750.1
5	5	0.894	BBX47881.1	BBZ10750.1	BBZ37284.1	QYL23526.1	VDM87133.1
5	5	0.894	BBX48321.1	BBZ10311.1	BBZ37663.1	QYL24033.1	VDM87456.1
5	5	0.894	BBX48394.1	BBZ10231.1	BBZ37756.1	QYL24104.1	VDM87559.1
5	5	0.894	BBX48834.1	BBZ14724.1	BBZ38310.1	QYL24562.1	VDM87891.1
5	5	0.893	BBX44023.1	BBZ14587.1	BBZ38476.1	QYL24748.1	VDM88068.1
5	5	0.893	BBX44489.1	BBZ14067.1	BBZ39102.1	QYL25188.1	VDM88528.1
5	5	0.893	BBX44596.1	BBZ13947.1	BBZ39270.1	QYL20275.1	VDM88672.1
5	5	0.893	BBX45269.1	BBZ13365.1	BBZ40194.1	QYL20989.1	VDM89435.1
5	5	0.893	BBX45430.1	BBZ13223.1	BBZ40502.1	QYL21107.1	VDM89716.1
5	5	0.893	BBX45660.1	BBZ12958.1	BBZ40742.1	QYL24508.1	VDM89917.1
5	5	0.893	BBX45855.1	BBZ12803.1	BBZ40958.1	QYL21605.1	VDM90097.1
5	5	0.893	BBX46466.1	BBZ12081.1	BBZ41612.1	QYL23820.1	VDM90609.1
5	5	0.893	BBX46541.1	BBZ11984.1	BBZ41701.1	QYL22177.1	VDM90695.1
5	5	0.893	BBX46670.1	BBZ11844.1	BBZ41800.1	QYL22264.1	VDM90804.1
5	5	0.893	BBX46918.1	BBZ11574.1	BBZ42122.1	QYL22569.1	VDM91122.1
5	5	0.893	BBX47009.1	BBZ11522.1	BBZ42243.1	QYL22629.1	VDM91174.1
5	5	0.893	BBX47049.1	BBZ11473.1	BBZ42185.1	QYL25829.1	VDM91217.1
5	5	0.893	BBX47166.1	BBZ11393.1	BBZ42343.1	QYL22833.1	VDM86544.1
5	5	0.893	BBX47417.1	BBZ11237.1	BBZ42602.1	QYL22698.1	VDM86745.1
5	5	0.893	BBX47459.1	BBZ11197.1	BBZ42637.1	QYL25084.1	VDM86778.1
5	5	0.893	BBX47512.1	BBZ11124.1	BBZ42710.1	QYL23109.1	VDM86831.1
5	5	0.893	BBX48148.1	BBZ10464.1	BBZ37510.1	QYL23828.1	VDM87332.1
5	5	0.893	BBX48935.1	BBZ14638.1	BBZ38411.1	QYL24682.1	VDM87990.1
5	5	0.892	BBX44164.1	BBZ14391.1	BBZ38601.1	QYL24909.1	VDM88217.1
5	5	0.892	BBX44499.1	BBZ14057.1	BBZ39112.1	QYL25197.1	VDM88538.1
5	5	0.892	BBX44611.1	BBZ13932.1	BBZ39286.1	QYL20857.1	VDM88689.1
5	5	0.892	BBX44825.1	BBZ13833.1	BBZ42594.1	QYL25019.1	VDM86737.1
5	5	0.892	BBX45172.1	BBZ13447.1	BBZ40088.1	QYL20902.1	VDM89354.1
5	5	0.892	BBX45780.1	BBZ12844.1	BBZ40864.1	QYL21566.1	VDM90053.1
5	5	0.892	BBX45954.1	BBZ12614.1	BBZ41055.1	QYL21666.1	VDM90157.1
5	5	0.892	BBX46486.1	BBZ12032.1	BBZ41643.1	QYL22133.1	VDM90642.1
5	5	0.892	BBX46871.1	BBZ11625.1	BBZ42015.1	QYL22506.1	VDM91022.1
5	5	0.892	BBX47056.1	BBZ11465.1	BBZ42179.1	QYL22670.1	VDM91225.1
5	5	0.892	BBX47068.1	BBZ11456.1	BBZ42169.1	QYL25830.1	VDM91233.1
5	5	0.892	BBX47138.1	BBZ11418.1	BBZ42305.1	QYL25275.1	VDM91296.1
5	5	0.892	BBX47618.1	BBZ11004.1	BBZ37024.1	QYL23300.1	VDM86918.1
5	5	0.892	BBX47885.1	BBZ10747.1	BBZ37287.1	QYL23528.1	VDM87136.1
5	5	0.892	BBX48341.1	BBZ10291.1	BBZ37692.1	QYL24049.1	VDM87478.1
5	5	0.892	BBX48513.1	BBZ10096.1	BBZ37907.1	QYL24245.1	VDM87684.1
5	5	0.892	BBX48523.1	BBZ10087.1	BBZ37916.1	QYL24252.1	VDM87693.1
5	5	0.892	BBX48933.1	BBZ14640.1	BBZ38409.1	QYL24680.1	VDM87988.1
5	5	0.891	BBX44049.1	BBZ14508.1	BBZ38499.1	QYL24815.1	VDM88091.1
5	5	0.891	BBX44107.1	BBZ14437.1	BBZ38545.1	QYL24889.1	VDM88173.1
5	5	0.891	BBX44263.1	BBZ14299.1	BBZ38695.1	QYL24998.1	VDM88306.1
5	5	0.891	BBX45786.1	BBZ12837.1	BBZ40884.1	QYL25723.1	VDM90061.1
5	5	0.891	BBX45788.1	BBZ12835.1	BBZ40885.1	QYL21574.1	VDM90062.1
5	5	0.891	BBX45866.1	BBZ12794.1	BBZ40976.1	QYL21621.1	VDM90115.1
5	5	0.891	BBX46638.1	BBZ11861.1	BBZ41780.1	QYL22237.1	VDM90786.1
5	5	0.891	BBX46703.1	BBZ11815.1	BBZ41824.1	QYL22328.1	VDM90830.1
5	5	0.891	BBX47232.1	BBZ10804.1	BBZ37250.1	QYL23501.1	VDM87108.1
5	5	0.891	BBX47879.1	BBZ10752.1	BBZ37282.1	QYL23525.1	VDM87130.1
5	5	0.891	BBX48200.1	BBZ10414.1	BBZ37559.1	QYL23882.1	VDM87379.1
5	5	0.891	BBX48395.1	BBZ10230.1	BBZ37758.1	QYL24105.1	VDM87560.1
5	5	0.891	BBX48625.1	BBZ09972.1	BBZ38032.1	QYL24367.1	VDM87765.1
5	5	0.891	BBX48799.1	BBZ14749.1	BBZ38184.1	QYL24478.1	VDM87863.1
5	5	0.891	BBX48832.1	BBZ14726.1	BBZ38308.1	QYL24560.1	VDM88940.1
5	5	0.89	BBX44127.1	BBZ14410.1	BBZ38557.1	QYL24899.1	VDM88191.1
5	5	0.89	BBX44185.1	BBZ14377.1	BBZ38623.1	QYL25525.1	VDM88232.1
5	5	0.89	BBX44300.1	BBZ14224.1	BBZ38952.1	QYL25545.1	VDM88366.1
5	5	0.89	BBX45234.1	BBZ13392.1	BBZ40143.1	QYL20953.1	VDM89408.1
5	5	0.89	BBX45385.1	BBZ13281.1	BBZ40443.1	QYL21074.1	VDM89655.1
5	5	0.89	BBX45390.1	BBZ13276.1	BBZ40460.1	QYL21082.1	VDM89676.1
5	5	0.89	BBX45568.1	BBZ13102.1	BBZ40663.1	QYL21344.1	VDM89852.1
5	5	0.89	BBX45658.1	BBZ12960.1	BBZ40740.1	QYL24510.1	VDM89915.1
5	5	0.89	BBX45964.1	BBZ12600.1	BBZ41070.1	QYL21680.1	VDM90176.1
5	5	0.89	BBX46789.1	BBZ11699.1	BBZ41917.1	QYL22442.1	VDM90928.1
5	5	0.89	BBX47134.1	BBZ11422.1	BBZ42301.1	QYL25274.1	VDM91300.1
5	5	0.89	BBX47162.1	BBZ11398.1	BBZ42338.1	QYL22827.1	VDM86540.1
5	5	0.89	BBX47178.1	BBZ11385.1	BBZ42349.1	QYL22842.1	VDM86551.1
5	5	0.89	BBX47407.1	BBZ11245.1	BBZ42589.1	QYL24115.1	VDM86732.1
5	5	0.89	BBX48180.1	BBZ10435.1	BBZ37537.1	QYL23863.1	VDM87359.1
5	5	0.89	BBX48276.1	BBZ10348.1	BBZ37627.1	QYL23971.1	VDM87429.1
5	5	0.889	BBX44666.1	BBZ13882.1	BBZ39346.1	QYL20782.1	VDM88732.1
5	5	0.889	BBX45858.1	BBZ12800.1	BBZ40961.1	QYL21608.1	VDM90100.1
5	5	0.889	BBX46145.1	BBZ12449.1	BBZ41230.1	QYL25747.1	VDM90320.1
5	5	0.889	BBX46252.1	BBZ12343.1	BBZ41337.1	QYL21963.1	VDM90399.1
5	5	0.889	BBX46423.1	BBZ12153.1	BBZ41563.1	QYL25703.1	VDM90555.1
5	5	0.889	BBX46537.1	BBZ11989.1	BBZ41695.1	QYL22171.1	VDM90691.1
5	5	0.889	BBX46916.1	BBZ11576.1	BBZ42120.1	QYL22567.1	VDM91120.1
5	5	0.889	BBX47770.1	BBZ10877.1	BBZ37199.1	QYL23448.1	VDM87058.1
5	5	0.889	BBX47854.1	BBZ10800.1	BBZ38456.1	QYL23506.1	VDM88051.1
5	5	0.889	BBX47987.1	BBZ10600.1	BBZ37378.1	QYL23634.1	VDM87234.1
5	5	0.889	BBX48257.1	BBZ10368.1	BBZ37608.1	QYL23937.1	VDM87408.1
5	5	0.889	BBX48393.1	BBZ10232.1	BBZ37755.1	QYL24100.1	VDM87558.1
5	5	0.889	BBX48855.1	BBZ14707.1	BBZ38334.1	QYL24630.1	VDM87929.1
5	5	0.888	BBX44450.1	BBZ14106.1	BBZ39060.1	QYL25147.1	VDM88487.1
5	5	0.888	BBX44522.1	BBZ14032.1	BBZ39134.1	QYL25217.1	VDM88559.1
5	5	0.888	BBX44655.1	BBZ13891.1	BBZ39333.1	QYL20802.1	VDM88717.1
5	5	0.888	BBX44702.1	BBZ13849.1	BBZ39806.1	QYL20748.1	VDM88324.1
5	5	0.888	BBX45700.1	BBZ12913.1	BBZ40774.1	QYL21476.1	VDM89951.1
5	5	0.888	BBX45832.1	BBZ12825.1	BBZ40899.1	QYL21582.1	VDM90073.1
5	5	0.888	BBX46049.1	BBZ12512.1	BBZ41175.1	QYL21749.1	VDM90249.1
5	5	0.888	BBX46407.1	BBZ12169.1	BBZ41550.1	QYL21394.1	VDM90543.1
5	5	0.888	BBX46431.1	BBZ12147.1	BBZ40818.1	QYL22231.1	VDM90561.1
5	5	0.888	BBX46752.1	BBZ11771.1	BBZ41884.1	QYL22399.1	VDM90890.1
5	5	0.888	BBX46763.1	BBZ11759.1	BBZ41896.1	QYL22409.1	VDM90902.1
5	5	0.888	BBX47116.1	BBZ11438.1	BBZ42283.1	QYL22791.1	VDM86513.1
5	5	0.888	BBX47510.1	BBZ11126.1	BBZ42708.1	QYL23108.1	VDM86829.1
5	5	0.888	BBX47620.1	BBZ10999.1	BBZ37028.1	QYL23301.1	VDM86922.1
5	5	0.888	BBX48001.1	BBZ10583.1	BBZ37393.1	QYL23650.1	VDM87247.1
5	5	0.888	BBX48116.1	BBZ10500.1	BBZ37473.1	QYL23730.1	VDM87294.1
5	5	0.888	BBX48191.1	BBZ10424.1	BBZ37550.1	QYL23873.1	VDM87371.1
5	5	0.887	BBX44120.1	BBZ14425.1	BBZ38552.1	QYL20801.1	VDM88183.1
5	5	0.887	BBX45280.1	BBZ13352.1	BBZ40205.1	QYL21003.1	VDM89447.1
5	5	0.887	BBX45316.1	BBZ12099.1	BBZ41592.1	QYL21436.1	VDM90594.1
5	5	0.887	BBX45319.1	BBZ12084.1	BBZ41608.1	QYL21444.1	VDM90605.1
5	5	0.887	BBX47010.1	BBZ11521.1	BBZ42242.1	QYL22630.1	VDM91175.1
5	5	0.887	BBX47712.1	BBZ10929.1	BBZ37136.1	QYL23380.1	VDM86998.1
5	5	0.887	BBX48377.1	BBZ10246.1	BBZ37738.1	QYL24088.1	VDM87514.1
5	5	0.887	BBX48835.1	BBZ14723.1	BBZ38311.1	QYL24565.1	VDM87895.1
5	5	0.886	BBX44235.1	BBZ14323.1	BBZ38668.1	QYL24979.1	VDM88279.1
5	5	0.886	BBX44518.1	BBZ14036.1	BBZ39130.1	QYL25213.1	VDM88555.1
5	5	0.886	BBX44889.1	BBZ13747.1	BBZ39624.1	QYL20620.1	VDM88947.1
5	5	0.886	BBX45116.1	BBZ13504.1	BBZ40033.1	QYL25582.1	VDM89300.1
5	5	0.886	BBX45141.1	BBZ13474.1	BBZ40060.1	QYL20878.1	VDM89327.1
5	5	0.886	BBX46392.1	BBZ12187.1	BBZ41532.1	QYL21380.1	VDM90531.1
5	5	0.886	BBX46494.1	BBZ12023.1	BBZ41652.1	QYL22141.1	VDM90650.1
5	5	0.886	BBX46628.1	BBZ11886.1	BBZ41769.1	QYL22225.1	VDM90772.1
5	5	0.886	BBX46764.1	BBZ11758.1	BBZ41897.1	QYL22410.1	VDM90903.1
5	5	0.886	BBX46848.1	BBZ11637.1	BBZ41998.1	QYL22486.1	VDM91009.1
5	5	0.886	BBX47181.1	BBZ11382.1	BBZ42353.1	QYL22847.1	VDM86555.1
5	5	0.886	BBX47841.1	BBZ10821.1	BBZ37239.1	QYL23489.1	VDM87101.1
5	5	0.886	BBX47848.1	BBZ10807.1	BBZ37247.1	QYL23498.1	VDM87105.1
5	5	0.886	BBX47989.1	BBZ10597.1	BBZ39761.1	QYL23638.1	VDM89074.1
5	5	0.886	BBX48249.1	BBZ10370.1	BBZ37603.1	QYL23901.1	VDM87406.1
5	5	0.886	BBX48376.1	BBZ10252.1	BBZ37735.1	QYL24087.1	VDM87513.1
5	5	0.886	BBX48400.1	BBZ10228.1	BBZ37761.1	QYL24108.1	VDM87564.1
5	5	0.886	BBX48580.1	BBZ09948.1	BBZ42060.1	QYL21853.1	VDM87258.1
5	5	0.886	BBX48667.1	BBZ09912.1	BBZ38071.1	QYL24394.1	VDM87804.1
5	5	0.885	BBX44047.1	BBZ14510.1	BBZ38497.1	QYL24813.1	VDM88089.1
5	5	0.885	BBX44389.1	BBZ14167.1	BBZ39011.1	QYL25098.1	VDM88430.1
5	5	0.885	BBX44474.1	BBZ14080.1	BBZ39095.1	QYL25171.1	VDM88517.1
5	5	0.885	BBX44519.1	BBZ14035.1	BBZ39131.1	QYL25214.1	VDM88556.1
5	5	0.885	BBX44592.1	BBZ13951.1	BBZ39266.1	QYL25575.1	VDM88668.1
5	5	0.885	BBX45219.1	BBZ13407.1	BBZ40133.1	QYL20943.1	VDM89401.1
